timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid,user_free
157035.0,-0.2278,-0.012,-30.9762,-255.0,0,0
157045.0,-0.2278,-0.0065,-29.0172,-255.0,0,0
157053.0,-0.2278,-0.0087,-27.3967,-255.0,0,0
157065.0,-0.2278,0.0131,-26.056,-255.0,0,0
157075.0,-0.2278,0.0011,-24.9469,-255.0,0,0
157085.0,-0.2278,-0.0022,-22.8989,-255.0,0,0
157095.0,-0.2278,-0.0033,-21.2046,-255.0,0,0
157103.0,-0.2278,0.0022,-19.803,-255.0,0,0
157115.0,-0.2278,0.0044,-18.6435,-255.0,0,0
157125.0,-0.2267,0.0044,-17.6842,-255.0,0,0
157135.0,-0.2267,0.0087,-16.8907,-255.0,0,0
157145.0,-0.2267,0.0,-16.2342,-255.0,0,0
157153.0,-0.2267,0.0076,-14.5606,-255.0,0,0
157165.0,-0.2267,0.0011,-13.1761,-255.0,0,0
157175.0,-0.2267,-0.0044,-12.0307,-255.0,0,0
157185.0,-0.2267,-0.0022,-9.9527,-255.0,0,0
157195.0,-0.2267,0.0,-8.2335,-255.0,0,0
157203.0,-0.2267,-0.0153,-6.8114,-255.0,0,0
157215.0,-0.2267,-0.0076,-5.6349,-255.0,0,0
157225.0,-0.2278,-0.0175,-4.6616,-255.0,0,0
157235.0,-0.2278,-0.0218,-3.8564,-255.0,0,0
157245.0,-0.2278,-0.0185,-3.1903,-255.0,0,0
157253.0,-0.2278,-0.0262,-2.6392,-255.0,0,0
157263.0,-0.2278,-0.0327,-2.1834,-255.0,0,0
157275.0,-0.2289,-0.0316,-1.8062,-255.0,0,0
157285.0,-0.2289,-0.0142,-1.4942,-255.0,0,0
157295.0,-0.2289,0.0,-1.2361,-255.0,0,0
157303.0,-0.2289,0.0229,-1.0226,-255.0,0,0
157313.0,-0.2278,0.0338,-0.846,-255.0,0,0
157325.0,-0.2278,0.036,-0.6999,-255.0,0,0
157335.0,-0.2278,0.0404,-0.579,-255.0,0,0
157346.0,-0.2267,0.0469,-0.479,-255.0,0,0
157353.0,-0.2267,0.0415,-0.3962,-255.0,0,0
157363.0,-0.2256,0.0305,-0.3278,-255.0,0,0
157376.0,-0.2256,0.0229,-0.2712,-255.0,0,0
157386.0,-0.2256,0.012,-0.2243,-255.0,0,0
157396.0,-0.2256,0.0022,-0.1856,-255.0,0,0
157403.0,-0.2256,-0.0316,-0.1535,-255.0,0,0
157413.0,-0.2267,-0.0371,-0.127,-255.0,0,0
157426.0,-0.2267,-0.0349,-0.1051,-255.0,0,0
157436.0,-0.2267,-0.048,-0.0869,-255.0,0,0
157446.0,-0.2278,-0.0371,-0.0719,-255.0,0,0
157454.0,-0.2278,-0.0349,-0.0595,-255.0,0,0
157466.0,-0.2278,-0.0196,-0.0492,-255.0,0,0
157476.0,-0.2278,-0.0087,-0.0407,-255.0,0,0
157486.0,-0.2267,0.0196,-0.0337,-255.0,0,0
157496.0,-0.2267,0.036,-0.0279,-255.0,0,0
157504.0,-0.2267,0.0185,-0.0231,-255.0,0,0
157514.0,-0.2267,0.0295,-0.0191,-255.0,0,0
157526.0,-0.2267,0.012,-0.0158,-255.0,0,0
157536.0,-0.2267,0.0131,-0.0131,-255.0,0,0
157546.0,-0.2267,0.0065,-0.0108,-255.0,0,0
157554.0,-0.2267,-0.0142,-0.0089,-255.0,0,0
157564.0,-0.2267,-0.0305,-0.0074,-255.0,0,0
157576.0,-0.2278,-0.0327,-0.0061,-255.0,0,0
157586.0,-0.2278,-0.0305,-0.0051,-255.0,0,0
157596.0,-0.2278,-0.0295,-0.0042,-255.0,0,0
157604.0,-0.2278,-0.0131,-0.0035,-255.0,0,0
157614.0,-0.2278,-0.0262,-0.0029,-255.0,0,0
157626.0,-0.2278,-0.0175,-0.0024,-255.0,0,0
157636.0,-0.2278,-0.0109,-0.002,-255.0,0,0
